file,line,selector,raw_value,computed_px_1440,computed_px_390,font_weight,font_family_token,role_guess,status
style.css,33,.main-navigation .ea-header-en-link,0.75rem,12.0,12.0,700,(none),nav,ORPHAN
style.css,57,.ea-footer-legal-menu,0.85rem,13.6,13.6,inherit,(none),nav,ORPHAN
style.css,116,body.ea-home-dashboard .ea-home-front,1rem,16.0,16.0,var(--ea-fw-normal),--ea-font-sans,body,ORPHAN
style.css,146,body.ea-home-dashboard .ea-home-front .ea-home-banner,var(--ea-size-md),,,var(--ea-fw-normal),(none),body,ORPHAN
style.css,153,body.ea-home-dashboard .ea-home-front .ea-home-hero-overlay h1,var(--ea-size-hero-h1),,,inherit,(none),hero-title,ORPHAN
style.css,158,body.ea-home-dashboard .ea-home-front .ea-home-hero-overlay .ea-home-hero-sub,var(--ea-size-95),,,var(--ea-fw-medium),(none),hero-title,ORPHAN
style.css,165,body.ea-home-dashboard .ea-home-front .ea-home-hero-overlay .ea-home-hero-meta,var(--ea-size-xs),,,var(--ea-fw-normal),(none),hero-title,ORPHAN
style.css,172,body.ea-home-dashboard .ea-home-front .ea-home-btn,var(--ea-size-md),,,var(--ea-fw-bold),inherit,button,ORPHAN
style.css,179,body.ea-home-dashboard .ea-home-front .ea-home-priority > h2,var(--ea-size-h2-priority),,,inherit,(none),section-title,ORPHAN
style.css,183,body.ea-home-dashboard .ea-home-front .ea-home-priority > .ea-home-priority-intro,0.9rem,14.4,14.4,var(--ea-fw-normal),(none),body,ORPHAN
style.css,190,body.ea-home-dashboard .ea-home-front .ea-home-priority-grid a,var(--ea-size-md),,,var(--ea-fw-semibold),(none),body,ORPHAN
style.css,196,body.ea-home-dashboard .ea-home-front .ea-home-card h3,var(--ea-size-h3),,,inherit,(none),title,ORPHAN
style.css,200,body.ea-home-dashboard .ea-home-front .ea-home-card p,var(--ea-size-md),,,var(--ea-fw-normal),(none),body,ORPHAN
style.css,207,body.ea-home-dashboard .ea-home-front .ea-home-card ul,var(--ea-size-md),,,var(--ea-fw-normal),(none),body,ORPHAN
style.css,213,body.ea-home-dashboard .ea-home-front .ea-home-block-large .inner h2,var(--ea-size-h2-card),,,inherit,(none),section-title,ORPHAN
style.css,221,"body.ea-home-dashboard .ea-home-front .ea-home-legacy p, body.ea-home-dashboard .ea-home-front .ea-home-legacy li",var(--ea-size-sm),,,var(--ea-fw-normal),(none),body,ORPHAN
style.css,232,body.ea-home-dashboard .ea-home-front .ea-home-seo-block h2,var(--ea-size-h2-seo),,,inherit,(none),section-title,ORPHAN
style.css,236,body.ea-home-dashboard .ea-home-front .ea-home-seo-block p,var(--ea-size-md),,,var(--ea-fw-normal),(none),body,ORPHAN
style.css,279,.ea-instance-catalog__title,1.15rem,18.4,18.4,inherit,(none),title,ORPHAN
style.css,294,.ea-instance-catalog__excerpt,0.95rem,15.2,15.2,inherit,(none),body,ORPHAN
style.css,300,.ea-catalog-empty,0.95rem,15.2,15.2,inherit,(none),body,ORPHAN
